station_clam,station_wq,station_phyto,station_zoop
SM01,,EMP_D7,EMP_NZ028
SM02,,EMP_NZ032,EMP_NZ032
SM03,,,
SM04,,,
SM05,,,
SM06,,,
SM07,,,
SM08,,,
SM09,VOL,EMP_NZS42,EMP_NZS42
SM10,GOD,,
SM11,,,
SM12,BDL,,
SM13,NSL,,
SM14,MSL,,
SM15,CSE,,
SM16,GZL,,
SM17,,,
SM18,HUN,,
SM19,,,
SM20,,,
SM21,,,
SM22,,,
SM24,,,
SM25,,,
SM26,,,
SM27,,,
SM28,,,
SM29,,,
SM30,,,
SM31,,,
SM32,,,
SM33,,,
SM34,,,
SM35,,,
SM38,,,
SM40,,,
SM41,,,
SM42,,,
SM43,,,
SM44,,,
SM45,,,
SM49,,,
SM50,,,
SM51,,,
SM52,,EMP_D4,EMP_NZ060
