YT,Year,Region,scenario,MetersSquared,Acres,Percent increase over base,Acres increase over base,Acres increase w/100 TAF,% increase with 100 TAF
"Above
Normal",2010,Suisun Marsh,base,14656860.43,3621.783496,0,NA,NA,NA
"Above
Normal",2010,Suisun Marsh,60 days continuous,16801019.72,4151.615979,14.629049,529.8324825,NA,NA
"Above
Normal",2010,Suisun Marsh,"60 days continuous, followed by 100 TAF",18519766.98,4576.327018,26.35562073,954.543522,424.7110395,22.99209577
"Above
Normal",2010,Suisun Marsh,7 days-on/ 7 days-off,17687500.22,4370.669741,20.67727808,748.886245,NA,NA
"Below
Normal",2016,Suisun Marsh,base,6275517.715,1550.711805,0,NA,NA,NA
"Below
Normal",2016,Suisun Marsh,60 days continuous,12301807.54,3039.838152,96.02856844,1489.126347,NA,NA
"Below
Normal",2016,Suisun Marsh,"60 days continuous, followed by 100 TAF",17463343.64,4315.279531,178.277338,2764.567726,1275.441379,90.94456968
"Below
Normal",2016,Suisun Marsh,7 days-on/ 7 days-off,14638324.69,3617.203223,133.2608298,2066.491418,NA,NA
Dry,2020,Suisun Marsh,base,2110751.635,521.5772827,0,NA,NA,NA
Dry,2020,Suisun Marsh,60 days continuous,8673903.16,2143.36484,310.9390711,1621.787558,NA,NA
Dry,2020,Suisun Marsh,"60 days continuous, followed by 100 TAF",13100967.83,3237.314657,520.6778485,2715.737374,1093.949816,126.7043913
Dry,2020,Suisun Marsh,7 days-on/ 7 days-off,9828933.986,2428.778733,365.6603754,1907.20145,NA,NA
Wet,2017,Suisun Marsh,base,17898251.86,4422.747525,0,NA,NA,NA
Wet,2017,Suisun Marsh,100 TAF continuous starting Aug 15,18493168.53,4569.754411,3.323881474,147.0068856,147.0068856,3.323881474
Wet,2017,Suisun Marsh,100 TAF continusous starting July1,18068328.29,4464.774262,0.950240474,42.02673704,42.02673704,0.950240474
Wet,2017,Suisun Bay,base,56973520.35,14078.44174,0,NA,NA,NA
Wet,2017,Suisun Bay,100 TAF continuous starting Aug 15,59185893.01,14625.13009,3.883159494,546.6883472,546.6883472,3.883159494
Wet,2017,Suisun Bay,100 TAF continusous starting July1,59027827.08,14586.07121,3.605721961,507.6294657,507.6294657,3.605721961
"Above
Normal",2010,Suisun Bay,base,27259419.76,6735.938921,0,NA,NA,NA
"Above
Normal",2010,Suisun Bay,60 days continuous,29659106.62,7328.913542,0,592.9746214,NA,NA
"Above
Normal",2010,Suisun Bay,"60 days continuous, followed by 100 TAF",31539710.29,7793.62011,15.70206028,1057.68119,464.7065684,14.43162324
"Above
Normal",2010,Suisun Bay,7 days-on/ 7 days-off,29097305.86,7190.089765,6.742205495,454.1508441,NA,NA
"Below
Normal",2016,Suisun Bay,base,13285987.84,3283.034026,0,NA,NA,NA
"Below
Normal",2016,Suisun Bay,60 days continuous,15268285.98,3772.869807,0,489.8357812,NA,NA
"Below
Normal",2016,Suisun Bay,"60 days continuous, followed by 100 TAF",15305759.99,3782.129823,15.20227306,499.0957973,9.260016154,13.22854545
"Below
Normal",2016,Suisun Bay,7 days-on/ 7 days-off,13771675.35,3403.049837,3.655637145,120.0158113,NA,NA
Dry,2020,Suisun Bay,base,2167110.85,535.5039266,0,NA,NA,NA
Dry,2020,Suisun Bay,60 days continuous,1485503.97,367.0754586,0,-168.428468,NA,NA
Dry,2020,Suisun Bay,"60 days continuous, followed by 100 TAF",1479978.72,365.7101415,-31.7072904,-169.7937851,-1.365317108,-46.25582591
Dry,2020,Suisun Bay,7 days-on/ 7 days-off,1818542.691,449.3709917,-16.08446374,-86.13293487,NA,NA
