"","YT","Month","OUT"
"1","C",1,0.259165136792589
"2","C",2,0.33445612773675
"3","C",3,0.225857846495187
"4","C",4,0.175528669926613
"5","C",5,0.126617735381526
"6","C",6,0.117731505926827
"7","C",7,0.09768700812913
"8","C",8,0.0818499787829485
"9","C",9,0.0855273690090835
"10","C",10,0.138502246489559
"11","C",11,0.111136466248843
"12","C",12,0.380994557622624
"13","D",1,0.39677515627673
"14","D",2,0.384930131491383
"15","D",3,0.360785532019728
"16","D",4,0.2745609403338
"17","D",5,0.258835315936585
"18","D",6,0.175594787146935
"19","D",7,0.118612451730899
"20","D",8,0.0900310220694364
"21","D",9,0.101784425211272
"22","D",10,0.103788410083765
"23","D",11,0.134409651277578
"24","D",12,0.302122050749607
"25","BN",1,0.569200419552075
"26","BN",2,0.626538932407198
"27","BN",3,0.856847232538638
"28","BN",4,0.639270618905138
"29","BN",5,0.464659229960501
"30","BN",6,0.289794100942121
"31","BN",7,0.175848009386355
"32","BN",8,0.120469036311398
"33","BN",9,0.129296152600177
"34","BN",10,0.136043018651998
"35","BN",11,0.159143792200107
"36","BN",12,0.754183980348493
"37","AN",1,1.18094849477424
"38","AN",2,0.680062837596298
"39","AN",3,0.362258382957042
"40","AN",4,0.506298736579505
"41","AN",5,0.962780181718677
"42","AN",6,0.270942859110632
"43","AN",7,0.222759046128758
"44","AN",8,0.159053830584991
"45","AN",9,0.0800431598521545
"46","AN",10,0.0988240643576491
"47","AN",11,0.152103277546929
"48","AN",12,0.547662828836528
"49","W",1,1.79491565882586
"50","W",2,2.0804608209419
"51","W",3,2.46323599656084
"52","W",4,2.11745537980415
"53","W",5,1.25648564164733
"54","W",6,0.693431641885463
"55","W",7,0.229948528593155
"56","W",8,0.196569008984724
"57","W",9,0.227305238616334
"58","W",10,0.203717464410525
"59","W",11,0.156463187860144
"60","W",12,0.191636112384463
