"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Year2017 - Year2018",0.166113466563142,0.141339471305412,1308.14228068301,1.17528009004787,0.903452495524411
"2","Year2017 - Year2019",0.294313870237383,0.131672246156663,1308.14610516522,2.23520049841945,0.27730337020263
"3","Year2017 - Year2020",0.229469039118419,0.132212853211634,1308.26792974148,1.73560310926129,0.592091321792579
"4","Year2017 - Year2021",0.011984974071354,0.133999220516649,1308.24858938524,0.0894406252897931,0.999999956342933
"5","Year2017 - Year2022",0.358210144794299,0.136952167383517,1308.43439566771,2.61558580370019,0.122041266926647
"6","Year2017 - Year2023",-0.353914188602018,0.221481677010802,1308.2696870628,-1.59793890573059,0.683740534621844
"7","Year2018 - Year2019",0.128200403674241,0.1073555364191,1308.56101046264,1.19416667225959,0.896503680839599
"8","Year2018 - Year2020",0.0633555725552765,0.108159196018508,1308.9008818649,0.585762236476268,0.997218286125146
"9","Year2018 - Year2021",-0.154128492491788,0.110328777717345,1308.82184979001,-1.39699265849437,0.803611799904844
"10","Year2018 - Year2022",0.192096678231157,0.114048472239941,1309.18039126735,1.68434240685849,0.626716693989446
"11","Year2018 - Year2023",-0.52002765516516,0.207787404448333,1308.28346749724,-2.50269094291741,0.159027129685878
"12","Year2019 - Year2020",-0.0648448311189641,0.0944385415329946,1308.19468296889,-0.686635245169567,0.993341971991738
"13","Year2019 - Year2021",-0.282328896166029,0.0968382274786704,1308.05141632708,-2.91546947436863,0.0556116793600492
"14","Year2019 - Year2022",0.0638962745569161,0.100739976156639,1308.24271270555,0.634269303951044,0.99568031544506
"15","Year2019 - Year2023",-0.648228058839401,0.201206563161512,1308.23906973193,-3.22170434529542,0.0221437615957559
"16","Year2020 - Year2021",-0.217484065047065,0.0974458164531805,1308.10170439958,-2.23184609625144,0.279062244887606
"17","Year2020 - Year2022",0.12874110567588,0.101204291174235,1308.1166189608,1.27209137263002,0.864700245981659
"18","Year2020 - Year2023",-0.583383227720437,0.201802319611351,1308.46502728557,-2.89086482674713,0.0595780732644257
"19","Year2021 - Year2022",0.346225170722945,0.103488778385842,1308.0742891521,3.34553345902004,0.0147747022525558
"20","Year2021 - Year2023",-0.365899162673372,0.202754525827356,1308.30332222853,-1.80464115994595,0.545098358917227
"21","Year2022 - Year2023",-0.712124333396317,0.204750317534558,1308.41812365078,-3.47801332848299,0.00939459201979986
